kanazawa,1451.81757699147
mito,1542.22202699451
ryukyu,1474.8942745949
fukuoka,1648.6690717564
ehime,1376.42872380458
tokushima,1617.25277101649
niigata,1454.27143567318
nagasaki,1608.6778922304
kitakyushu,1495.0025166146
kyoto,1496.89816796425
gunma,1495.81632073016
yamaguchi,1354.52337196553
iwata,1554.56398119952
matsumoto,1533.57971209236
tochigi,1504.24072187885
chiba,1490.70107642566
omiya,1468.57581198111
machida,1425.03372754902
yamagata,1533.76941447788
tokyov,1468.27938395917
okayama,1470.07937353287
kofu,1534.70264656708
