2019/5/18,J1,gosaka,1,0,cosaka,1
2019/5/25,J1,sapporo,0,0,gosaka,0.5
2019/5/25,J1,shimizu,4,3,sendai,1
2019/5/25,J1,cosaka,1,0,fctokyo,1
2019/5/26,J1,yokohamafm,4,0,iwata,1
2019/5/26,J1,urawa,0,4,hiroshima,0
2019/5/26,J1,tosu,1,0,kashima,1
2019/5/26,J1,nagoya,0,1,matsumoto,0
2019/5/26,J1,kobe,4,1,shonan,1
2019/5/26,J1,oita,0,1,kawasakif,0
2019/5/31,J1,shonan,1,2,yokohamafm,0
2019/6/1,J1,sapporo,1,0,hiroshima,1
2019/6/1,J1,sendai,3,1,nagoya,1
2019/6/1,J1,fctokyo,3,1,oita,1
2019/6/1,J1,iwata,1,1,kobe,0.5
2019/6/1,J1,tosu,0,1,cosaka,0
2019/6/1,J1,matsumoto,1,1,shimizu,0.5
2019/6/1,J1,kawasakif,1,1,urawa,0.5
2019/6/1,J1,gosaka,1,1,kashima,0.5
2019/6/14,J1,kashima,2,0,cosaka,1
2019/6/14,J1,kawasakif,1,1,sapporo,0.5
2019/6/14,J1,hiroshima,2,0,shonan,1
2019/6/15,J1,shimizu,3,2,yokohamafm,1
2019/6/15,J1,urawa,2,1,tosu,1
2019/6/15,J1,fctokyo,0,1,kobe,0
2019/6/15,J1,matsumoto,0,1,sendai,0
2019/6/15,J1,iwata,0,0,gosaka,0.5
2019/6/15,J1,oita,1,1,nagoya,0.5
2019/6/22,J1,sapporo,3,1,tosu,1
2019/6/22,J1,yokohamafm,1,0,matsumoto,1
2019/6/22,J1,kobe,2,2,oita,0.5
2019/6/22,J1,nagoya,1,2,shimizu,0
2019/6/22,J1,gosaka,1,0,shonan,1
2019/6/22,J1,cosaka,2,0,iwata,1
2019/6/23,J1,sendai,2,0,fctokyo,1
2019/6/29,J1,matsumoto,1,3,gosaka,0
2019/6/29,J1,fctokyo,4,2,yokohamafm,1
2019/6/30,J1,kobe,5,3,nagoya,1
2019/6/30,J1,kashima,2,2,hiroshima,0.5
2019/6/30,J1,sendai,2,1,sapporo,1
2019/6/30,J1,shonan,0,2,cosaka,0
2019/6/30,J1,iwata,1,3,kawasakif,0
2019/6/30,J1,oita,2,0,urawa,1
2019/6/30,J1,tosu,4,2,shimizu,1
2019/7/6,J1,shimizu,2,1,kobe,1
2019/7/6,J1,kashima,2,0,iwata,1
2019/7/6,J1,urawa,1,0,sendai,1
2019/7/6,J1,yokohamafm,1,0,oita,1
2019/7/6,J1,hiroshima,1,1,cosaka,0.5
2019/7/7,J1,sapporo,1,1,matsumoto,0.5
