kanazawa,1526.67436559002
yokohamafc,1655.14561890717
mito,1547.62951334745
ryukyu,1444.52358949202
gifu,1348.67342507841
fukuoka,1441.13048861106
ehime,1394.86607544225
niigata,1540.03281176939
tokushima,1615.09689476401
nagasaki,1454.64677496899
kyoto,1527.65141724185
yamaguchi,1431.67531806171
kagoshima,1416.26895958472
chiba,1423.30530919507
tochigi,1450.19935124252
omiya,1599.31186726862
machida,1444.72721686782
yamagata,1521.29505347869
tokyov,1484.54005807562
okayama,1528.06569774032
kashiwa,1629.7725888225
kofu,1574.7676044498
